date,dow,text
,Sunday,Application for degree for January and February 2022 begins
,Wednesday,Last day to apply for Study Abroad
,Tuesday,"Last day of Registration;
			Last day to file ePermit for the Fall 2021;
			Last day to drop classes for 100% tuition refund;"
,Wednesday,"Start of Fall Term;
			Classes begin;
			Initial Registration Appeals begin;"
2031-08-25,Wednesday - Tuesday,Change of program period; late fees apply
,Thursday,Last day for Independent Study
,Saturday,First day of Saturday Classes
,Tuesday,"Last day to add a class to an existing enrollment;
			Last day for 75% tuition refund;
			Financial Aid Certification Enrollment Status date;
			Last day to apply for Audit option;
			Last day to drop without the grade of 'WD';
			Initial Registration Appeals end;"
,Wednesday,"Verification of Enrollment rosters available to faculty;
			Course Withdrawal drop period begins (A grade of 'WD' is assigned to students who officially drop a class);"
2008-09-03,Friday - Wednesday,No classes scheduled
,Monday,"College Closed;
			Last day for 50% tuition refund;"
,Thursday,Freshman Convocation
,Tuesday,"Last day for 25% tuition refund;
			Census date;
			Last day to change or declare a major/minor to be effective in Fall 2021;
			Last day to drop without the grade of 'W';
			Course Withdrawal drop period ends (Last day for 'WD' grades);
			Verification of Enrollment Rosters Dues from Faculty;"
,Wednesday,"Assignment of 'WN' grades for non-attendance;
			Course Withdrawal period begins (A grade of 'W' is assigned to students who officially drop a class) - No Refund;
			100% Tuition obligation for course drops;"
2016-09-15,Wednesday - Thursday,No classes scheduled
,Thursday,Last day to submit proof of immunization for NYS residents;
,Friday,Assignment of 'WA' grades for immunization non-compliance
,Friday,Advising month begins for Spring and Winter enrollment
,Friday,"Deadline for filing application for degree for January and February 2022;
			Last day to submit proof of immunization for non-NYS residents;"
,Monday,College Closed
,Monday,"'INC' grades for Spring 2021 and Winter 2021 for Undergraduate students convert to 'FIN';
			'INC' grades for Summer 2020 and Fall 2020 for Graduate students convert to 'FIN';"
,Tuesday,Registration appointments for Winter and Spring 2022 begin for continuing students.  Check your CUNYFirst account for your appointment date and time.
,Thursday,Last day to file for P/NC option
,Saturday,60% Date of the term
,Tuesday,'INC' grades for Summer 2021 for Undergraduate students convert to 'FIN'
2028-11-25,Thursday - Sunday,College Closed
,Saturday,Last day of Saturday Classes
,Monday,"Course Withdrawal period ends (Last day to withdraw from a class with the grade of 'W');
			Last day of Classes;"
,Tuesday,Reading Day
2021-12-15,Wednesday - Tuesday,Final Examinations
,Tuesday,End of Term
2025-12-24,Friday - Saturday,College Closed
,Monday,College Closed
,Tuesday,Final Grade Submission Deadline for Fall 2021
,Friday,College Closed
2022-01-01,Saturday,"College Closed;
			Fall 2021 Degree Conferral Date;"
